PROFIL-VERGLEICH DATEN (MIT LICHTBRECHUNG)
============================================================

Brechungsindizes: n_air = 1.0, n_water = 1.333
Calibration Y-Ebene: -31.078 cm
Anzahl Calibration-Punkte: 200
Anzahl Measurement-Punkte: 1000

HÖHENPROFIL-STATISTIKEN:
  Min: -9.091 cm
  Max: 1.198 cm
  Mittelwert: 0.107 cm
  Standardabweichung: 0.886 cm

X [cm]	Calib Z [cm]	Meas Z [cm]	Höhe [cm]
45.9948	0.0000	-0.1143	-0.1143
46.2955	0.0000	-0.1079	-0.1079
46.5964	0.0000	-0.1157	-0.1157
46.8966	0.0000	-0.1421	-0.1421
47.2197	0.0000	-0.1450	-0.1450
47.5199	0.0000	-0.1622	-0.1622
47.8192	0.0000	-0.1735	-0.1735
48.1184	0.0000	-0.1673	-0.1673
48.4172	0.0000	-0.1745	-0.1745
48.7159	0.0000	-0.1743	-0.1743
49.0148	0.0000	-0.2169	-0.2169
49.3359	0.0000	-0.2021	-0.2021
49.6337	0.0000	-0.2161	-0.2161
49.9312	0.0000	-0.2457	-0.2457
50.2285	0.0000	-0.2293	-0.2293
50.5255	0.0000	-0.2324	-0.2324
50.8223	0.0000	-0.2411	-0.2411
51.1188	0.0000	-0.2411	-0.2411
51.4379	0.0000	-0.2611	-0.2611
51.7339	0.0000	-0.2878	-0.2878
52.0296	0.0000	-0.2658	-0.2658
52.3251	0.0000	-0.2921	-0.2921
52.6203	0.0000	-0.2757	-0.2757
52.9152	0.0000	-0.2838	-0.2838
53.2099	0.0000	-0.3473	-0.3473
53.5271	0.0000	-0.3396	-0.3396
53.8205	0.0000	-0.3281	-0.3281
54.1144	0.0000	-0.3181	-0.3181
54.4080	0.0000	-0.3543	-0.3543
54.7014	0.0000	-0.3583	-0.3583
54.9937	0.0000	-0.3339	-0.3339
55.2866	0.0000	-0.3314	-0.3314
55.6018	0.0000	-0.3258	-0.3258
55.8933	0.0000	-0.3655	-0.3655
56.1854	0.0000	-0.3860	-0.3860
56.4772	0.0000	-0.3788	-0.3788
56.7679	0.0000	-0.3797	-0.3797
57.0592	0.0000	-0.3829	-0.3829
57.3494	0.0000	-0.4044	-0.4044
57.6627	0.0000	-0.5964	-0.5964
57.9523	0.0000	-0.7825	-0.7825
58.2425	0.0000	-0.9691	-0.9691
58.5316	0.0000	-1.1549	-1.1549
58.8214	0.0000	-1.3415	-1.3415
59.1099	0.0000	-1.5276	-1.5276
59.3992	0.0000	-1.7141	-1.7141
59.7096	0.0000	-1.9144	-1.9144
59.9973	0.0000	-2.1000	-2.1000
60.2858	0.0000	-1.6727	-1.6727
60.5730	0.0000	-0.5933	-0.5933
60.8599	0.0000	-0.5066	-0.5066
61.1466	0.0000	-0.4278	-0.4278
61.4340	0.0000	-0.4045	-0.4045
61.7424	0.0000	-0.3918	-0.3918
