ROTESTE PIXEL KOORDINATEN
==================================================

Anzahl vertikaler Linien: 100
Marker-Größe: 5 px
Boden-ROI-Größe: 2624 x 2624 px

Gefundene roteste Pixel: 100

  Linie 1: x=10, y=2553
  Linie 2: x=26, y=2590
  Linie 3: x=68, y=2607
  Linie 4: x=90, y=1194
  Linie 5: x=118, y=917
  Linie 6: x=137, y=150
  Linie 7: x=182, y=1262
  Linie 8: x=195, y=452
  Linie 9: x=234, y=1275
  Linie 10: x=247, y=1279
  Linie 11: x=274, y=100
  Linie 12: x=294, y=111
  Linie 13: x=332, y=767
  Linie 14: x=363, y=742
  Linie 15: x=389, y=470
  Linie 16: x=413, y=619
  Linie 17: x=445, y=2180
  Linie 18: x=447, y=2181
  Linie 19: x=472, y=2596
  Linie 20: x=498, y=2612
  Linie 21: x=524, y=833
  Linie 22: x=551, y=750
  Linie 23: x=583, y=1310
  Linie 24: x=624, y=1322
  Linie 25: x=654, y=1316
  Linie 26: x=660, y=1323
  Linie 27: x=698, y=1390
  Linie 28: x=722, y=1317
  Linie 29: x=751, y=1282
  Linie 30: x=773, y=1388
  Linie 31: x=804, y=1319
  Linie 32: x=828, y=1280
  Linie 33: x=845, y=1315
  Linie 34: x=865, y=1229
  Linie 35: x=902, y=1307
  Linie 36: x=937, y=1243
  Linie 37: x=968, y=1421
  Linie 38: x=996, y=1404
  Linie 39: x=1021, y=1353
  Linie 40: x=1027, y=1309
  Linie 41: x=1071, y=1307
  Linie 42: x=1078, y=1311
  Linie 43: x=1115, y=2595
  Linie 44: x=1142, y=2605
  Linie 45: x=1158, y=2611
  Linie 46: x=1195, y=2608
  Linie 47: x=1207, y=2588
  Linie 48: x=1235, y=2578
  Linie 49: x=1273, y=2340
  Linie 50: x=1297, y=2592
  Linie 51: x=1337, y=2615
  Linie 52: x=1342, y=2611
  Linie 53: x=1366, y=2335
  Linie 54: x=1392, y=2623
  Linie 55: x=1420, y=21
  Linie 56: x=1444, y=1386
  Linie 57: x=1477, y=1295
  Linie 58: x=1501, y=2623
  Linie 59: x=1534, y=2622
  Linie 60: x=1562, y=1252
  Linie 61: x=1594, y=1213
  Linie 62: x=1600, y=1239
  Linie 63: x=1646, y=1259
  Linie 64: x=1655, y=1452
  Linie 65: x=1696, y=1337
  Linie 66: x=1728, y=1400
  Linie 67: x=1731, y=1401
  Linie 68: x=1783, y=1240
  Linie 69: x=1788, y=1237
  Linie 70: x=1835, y=1294
  Linie 71: x=1846, y=1261
  Linie 72: x=1882, y=2617
  Linie 73: x=1899, y=1367
  Linie 74: x=1934, y=1310
  Linie 75: x=1961, y=1405
  Linie 76: x=1989, y=1477
  Linie 77: x=2019, y=1380
  Linie 78: x=2020, y=1379
  Linie 79: x=2070, y=1306
  Linie 80: x=2072, y=1303
  Linie 81: x=2111, y=1484
  Linie 82: x=2125, y=1515
  Linie 83: x=2160, y=2579
  Linie 84: x=2192, y=2185
  Linie 85: x=2224, y=2088
  Linie 86: x=2255, y=825
  Linie 87: x=2281, y=1424
  Linie 88: x=2288, y=2500
  Linie 89: x=2334, y=2561
  Linie 90: x=2357, y=2311
  Linie 91: x=2385, y=2614
  Linie 92: x=2413, y=2603
  Linie 93: x=2425, y=2581
  Linie 94: x=2448, y=2616
  Linie 95: x=2481, y=2615
  Linie 96: x=2500, y=2551
  Linie 97: x=2519, y=2608
  Linie 98: x=2570, y=1491
  Linie 99: x=2572, y=1487
  Linie 100: x=2616, y=2195
