ROTESTE PIXEL KOORDINATEN
==================================================

Anzahl vertikaler Linien: 500
Marker-Größe: 5 px
Boden-ROI-Größe: 2624 x 2624 px

Gefundene roteste Pixel: 500

  Linie 195: x=1018, y=1350
  Linie 196: x=1027, y=1347
  Linie 197: x=1032, y=1350
  Linie 198: x=1033, y=1350
  Linie 199: x=1039, y=1349
  Linie 200: x=1047, y=1346
  Linie 201: x=1049, y=1349
  Linie 202: x=1054, y=1349
  Linie 203: x=1060, y=1349
  Linie 204: x=1069, y=1348
  Linie 205: x=1073, y=1346
  Linie 206: x=1075, y=1348
  Linie 207: x=1081, y=1348
  Linie 208: x=1087, y=1354
  Linie 209: x=1091, y=1376
  Linie 210: x=1096, y=1383
  Linie 211: x=1106, y=1407
  Linie 212: x=1108, y=1389
  Linie 213: x=1115, y=1415
  Linie 214: x=1122, y=1408
  Linie 215: x=1126, y=1406
  Linie 216: x=1131, y=1419
  Linie 217: x=1134, y=1412
  Linie 218: x=1139, y=1412
  Linie 219: x=1145, y=1406
  Linie 220: x=1150, y=1426
  Linie 221: x=1158, y=1420
  Linie 222: x=1164, y=1414
  Linie 223: x=1165, y=1414
  Linie 224: x=1171, y=1426
  Linie 225: x=1179, y=1425
  Linie 226: x=1180, y=1421
  Linie 227: x=1187, y=1412
  Linie 228: x=1193, y=1362
  Linie 229: x=1197, y=1365
  Linie 230: x=1201, y=1363
  Linie 231: x=1210, y=1367
  Linie 232: x=1216, y=1357
  Linie 233: x=1219, y=1344
  Linie 234: x=1222, y=1361
  Linie 235: x=1230, y=1344
  Linie 236: x=1237, y=1415
  Linie 237: x=1242, y=1394
  Linie 238: x=1247, y=1406
  Linie 239: x=1253, y=1408
  Linie 240: x=1254, y=1408
  Linie 241: x=1262, y=1408
  Linie 242: x=1264, y=1411
  Linie 243: x=1272, y=1411
  Linie 244: x=1275, y=1384
  Linie 245: x=1282, y=1365
  Linie 246: x=1290, y=1417
  Linie 247: x=1295, y=1414
  Linie 248: x=1296, y=1422
  Linie 249: x=1303, y=1413
  Linie 250: x=1311, y=1350
  Linie 251: x=1316, y=1347
  Linie 252: x=1319, y=1349
  Linie 253: x=1322, y=1350
  Linie 254: x=1327, y=1347
  Linie 255: x=1332, y=1351
  Linie 256: x=1338, y=1424
  Linie 257: x=1344, y=1430
  Linie 258: x=1348, y=1414
  Linie 259: x=1356, y=1429
  Linie 260: x=1359, y=1414
  Linie 261: x=1366, y=1392
  Linie 262: x=1372, y=1392
  Linie 263: x=1374, y=1396
  Linie 264: x=1384, y=1423
  Linie 265: x=1386, y=1420
  Linie 266: x=1394, y=1454
  Linie 267: x=1398, y=1437
  Linie 268: x=1401, y=1424
  Linie 269: x=1409, y=1421
  Linie 270: x=1415, y=1414
  Linie 271: x=1420, y=1384
  Linie 272: x=1426, y=1382
  Linie 273: x=1431, y=1405
  Linie 274: x=1435, y=1387
  Linie 275: x=1437, y=1385
  Linie 276: x=1447, y=1433
  Linie 277: x=1452, y=1370
  Linie 278: x=1454, y=1369
