LASER-LINIEN STARTPUNKTE
==================================================

ROI-Groesse: 2522 x 2522 px
Rand-Margin: 25 px (1.0%)
Gap-Toleranz: 25 px (1.0%)

Vertikale Startpunkte (am linken Rand): 394
  V1: x=0, y=89
  V2: x=0, y=160
  V3: x=0, y=297
  V4: x=0, y=368
  V5: x=0, y=603
  V6: x=0, y=673
  V7: x=0, y=754
  V8: x=0, y=817
  V9: x=0, y=908
  V10: x=0, y=1064
  V11: x=0, y=1224
  V12: x=0, y=1265
  V13: x=0, y=1327
  V14: x=0, y=1552
  V15: x=0, y=1713
  V16: x=0, y=1812
  V17: x=0, y=1891
  V18: x=0, y=2416
  V19: x=0, y=2475
  V20: x=1, y=164
  V21: x=1, y=297
  V22: x=1, y=375
  V23: x=1, y=756
  V24: x=1, y=817
  V25: x=1, y=952
  V26: x=1, y=1202
  V27: x=1, y=1267
  V28: x=1, y=1387
  V29: x=1, y=1479
  V30: x=1, y=1532
  V31: x=1, y=1723
  V32: x=1, y=1972
  V33: x=1, y=2404
  V34: x=2, y=1
  V35: x=2, y=298
  V36: x=2, y=378
  V37: x=2, y=410
  V38: x=2, y=607
  V39: x=2, y=776
  V40: x=2, y=817
  V41: x=2, y=958
  V42: x=2, y=1254
  V43: x=2, y=1388
  V44: x=2, y=1478
  V45: x=2, y=1527
  V46: x=2, y=1629
  V47: x=2, y=1696
  V48: x=2, y=1753
  V49: x=2, y=1974
  V50: x=2, y=2400
  V51: x=3, y=4
  V52: x=3, y=299
  V53: x=3, y=381
  V54: x=3, y=413
  V55: x=3, y=597
  V56: x=3, y=778
  V57: x=3, y=819
  V58: x=3, y=899
  V59: x=3, y=949
  V60: x=3, y=1216
  V61: x=3, y=1259
  V62: x=3, y=1409
  V63: x=3, y=1485
  V64: x=3, y=1553
  V65: x=3, y=1581
  V66: x=3, y=1630
  V67: x=3, y=1762
  V68: x=3, y=2403
  V69: x=4, y=1
  V70: x=4, y=258
  V71: x=4, y=416
  V72: x=4, y=613
  V73: x=4, y=780
  V74: x=4, y=821
  V75: x=4, y=950
  V76: x=4, y=1262
  V77: x=4, y=1395
  V78: x=4, y=1488
  V79: x=4, y=1550
  V80: x=4, y=1633
  V81: x=4, y=1721
  V82: x=4, y=1794
  V83: x=4, y=2406
  V84: x=5, y=0
  V85: x=5, y=261
  V86: x=5, y=422
  V87: x=5, y=616
  V88: x=5, y=647
  V89: x=5, y=783
  V90: x=5, y=823
  V91: x=5, y=952
  V92: x=5, y=1250
  V93: x=5, y=1301
  V94: x=5, y=1388
  V95: x=5, y=1454
  V96: x=5, y=1489
  V97: x=5, y=1544
  V98: x=5, y=1636
  V99: x=5, y=1790
  V100: x=5, y=2404
  V101: x=6, y=0
  V102: x=6, y=262
  V103: x=6, y=425
  V104: x=6, y=619
  V105: x=6, y=785
  V106: x=6, y=1016
  V107: x=6, y=1276
  V108: x=6, y=1398
  V109: x=6, y=1539
  V110: x=6, y=1628
  V111: x=6, y=1778
  V112: x=6, y=1983
  V113: x=6, y=2402
  V114: x=7, y=0
  V115: x=7, y=61
  V116: x=7, y=262
  V117: x=7, y=428
  V118: x=7, y=722
  V119: x=7, y=788
  V120: x=7, y=1233
  V121: x=7, y=1307
  V122: x=7, y=1400
  V123: x=7, y=1541
  V124: x=7, y=1630
  V125: x=7, y=1800
  V126: x=7, y=1901
  V127: x=7, y=1985
  V128: x=7, y=2403
  V129: x=8, y=2
  V130: x=8, y=63
  V131: x=8, y=258
  V132: x=8, y=418
  V133: x=8, y=635
  V134: x=8, y=790
  V135: x=8, y=1277
  V136: x=8, y=1404
  V137: x=8, y=1632
  V138: x=8, y=1720
  V139: x=8, y=1802
  V140: x=8, y=1832
  V141: x=8, y=2422
  V142: x=9, y=0
  V143: x=9, y=248
  V144: x=9, y=421
  V145: x=9, y=639
  V146: x=9, y=792
  V147: x=9, y=1271
  V148: x=9, y=1406
  V149: x=9, y=1515
  V150: x=9, y=1558
  V151: x=9, y=1770
  V152: x=9, y=1804
  V153: x=9, y=1833
  V154: x=9, y=1957
  V155: x=9, y=2423
  V156: x=10, y=1
  V157: x=10, y=249
  V158: x=10, y=427
  V159: x=10, y=642
  V160: x=10, y=794
  V161: x=10, y=1243
  V162: x=10, y=1272
  V163: x=10, y=1409
  V164: x=10, y=1517
  V165: x=10, y=1645
  V166: x=10, y=1786
  V167: x=10, y=1851
  V168: x=10, y=2425
  V169: x=11, y=3
  V170: x=11, y=252
  V171: x=11, y=408
  V172: x=11, y=497
  V173: x=11, y=618
  V174: x=11, y=650
  V175: x=11, y=796
  V176: x=11, y=1249
  V177: x=11, y=1425
  V178: x=11, y=1519
