LASER-LINIEN STARTPUNKTE
==================================================

ROI-Groesse: 2316 x 2316 px
Rand-Margin: 23 px (1.0%)
Gap-Toleranz: 23 px (1.0%)

Vertikale Startpunkte (am linken Rand): 352
  V247: x=16, y=1090
  V248: x=16, y=1240
  V249: x=16, y=1353
  V250: x=16, y=1466
  V251: x=16, y=1582
  V252: x=16, y=2009
  V253: x=16, y=2157
  V254: x=17, y=1
  V255: x=17, y=414
  V256: x=17, y=595
  V257: x=17, y=711
  V258: x=17, y=792
  V259: x=17, y=833
  V260: x=17, y=956
  V261: x=17, y=1097
  V262: x=17, y=1236
  V263: x=17, y=1294
  V264: x=17, y=1356
  V265: x=17, y=1470
  V266: x=17, y=1507
  V267: x=17, y=1584
  V268: x=17, y=2036
  V269: x=18, y=4
  V270: x=18, y=365
  V271: x=18, y=416
  V272: x=18, y=680
  V273: x=18, y=713
  V274: x=18, y=784
  V275: x=18, y=833
  V276: x=18, y=975
  V277: x=18, y=1101
  V278: x=18, y=1137
  V279: x=18, y=1228
  V280: x=18, y=1295
  V281: x=18, y=1354
  V282: x=18, y=1484
  V283: x=18, y=1525
  V284: x=18, y=1585
  V285: x=18, y=2035
  V286: x=19, y=6
  V287: x=19, y=394
  V288: x=19, y=682
  V289: x=19, y=764
  V290: x=19, y=949
  V291: x=19, y=1091
  V292: x=19, y=1151
  V293: x=19, y=1238
  V294: x=19, y=1356
  V295: x=19, y=1469
  V296: x=19, y=1526
  V297: x=19, y=1589
  V298: x=19, y=2009
  V299: x=20, y=0
  V300: x=20, y=370
  V301: x=20, y=428
  V302: x=20, y=620
  V303: x=20, y=719
  V304: x=20, y=766
  V305: x=20, y=815
  V306: x=20, y=845
  V307: x=20, y=923
  V308: x=20, y=978
  V309: x=20, y=1087
  V310: x=20, y=1154
  V311: x=20, y=1240
  V312: x=20, y=1358
  V313: x=20, y=1470
  V314: x=20, y=1503
  V315: x=20, y=1534
  V316: x=20, y=1587
  V317: x=20, y=2000
  V318: x=20, y=2033
  V319: x=21, y=0
  V320: x=21, y=422
  V321: x=21, y=622
  V322: x=21, y=725
  V323: x=21, y=768
  V324: x=21, y=818
  V325: x=21, y=847
  V326: x=21, y=923
  V327: x=21, y=962
  V328: x=21, y=1090
  V329: x=21, y=1146
  V330: x=21, y=1245
  V331: x=21, y=1352
  V332: x=21, y=1478
  V333: x=21, y=1522
  V334: x=21, y=2016
  V335: x=21, y=2154
  V336: x=22, y=1
  V337: x=22, y=391
  V338: x=22, y=625
  V339: x=22, y=728
  V340: x=22, y=772
  V341: x=22, y=849
  V342: x=22, y=909
  V343: x=22, y=940
  V344: x=22, y=1075
  V345: x=22, y=1101
  V346: x=22, y=1247
  V347: x=22, y=1354
  V348: x=22, y=1470
  V349: x=22, y=1556
  V350: x=22, y=2006
  V351: x=22, y=2034
  V352: x=22, y=2155

Horizontale Startpunkte (am unteren Rand): 503
  H1: x=82, y=2293
  H2: x=266, y=2293
  H3: x=373, y=2293
  H4: x=518, y=2293
  H5: x=552, y=2293
  H6: x=741, y=2293
  H7: x=891, y=2293
  H8: x=1051, y=2293
  H9: x=1152, y=2293
  H10: x=1194, y=2293
  H11: x=1220, y=2293
  H12: x=1283, y=2293
  H13: x=1323, y=2293
  H14: x=1369, y=2293
  H15: x=1549, y=2293
  H16: x=1601, y=2293
  H17: x=1831, y=2293
  H18: x=1954, y=2293
  H19: x=98, y=2294
  H20: x=214, y=2294
  H21: x=271, y=2294
  H22: x=335, y=2294
  H23: x=391, y=2294
  H24: x=518, y=2294
  H25: x=561, y=2294
  H26: x=630, y=2294
  H27: x=670, y=2294
  H28: x=741, y=2294
  H29: x=894, y=2294
  H30: x=923, y=2294
  H31: x=1051, y=2294
  H32: x=1109, y=2294
  H33: x=1133, y=2294
  H34: x=1220, y=2294
  H35: x=1250, y=2294
  H36: x=1276, y=2294
  H37: x=1317, y=2294
  H38: x=1372, y=2294
  H39: x=1567, y=2294
  H40: x=1737, y=2294
  H41: x=1831, y=2294
  H42: x=1970, y=2294
  H43: x=82, y=2295
  H44: x=209, y=2295
